FID,ID,Name,Lat,Lon,Lat_90m,Lon_90m,Country,Area(km2),Derived_area(km2),Area_error(%),Regulation,Regulated_period,Reference,Q_period,Q_length,Hongren,Tim,Amin,Frank,Flow_info1,Flow_info2,Lake_info,Missing_data,Observation_percent_2000-2017,Objective_info,Calibration/Validation,Watershed_NO,Most_downstream,Q-t_check,SubId_version1,DowSubId_version1,SubId_version2,DowSubId_version2,SubId_version3,DowSubId_version3
113,02GE007,MCGREGOR CREEK NEAR CHATHAM,42.38349915,-82.09506226,42.3838005,-82.0839996,CA,204,212.683,4.256372549,Natural,All, ,1977-2017,34,TRUE,FALSE,FALSE,FALSE, , ,STCLAIR,2000-01-01 - 2006-03-31; 2017-01-18 - 2017-12-31,60,Obj1-2,V,GL001,TRUE,Normal,198,26,6631,4919,-9999,-9999
114,02GG013,BLACK CREEK NEAR BRADSHAW,42.76243973,-82.25921631,42.7896004,-82.1776962,CA,213,218.9,2.769953052,Natural,1900-End, ,2006-2017,12,TRUE,FALSE,FALSE,FALSE, , ,STCLAIR,2000-01-01 - 2006-03-31; 2012-09-03 - 2012-09-03; 2012-09-29 - 2012-10-28,64.82129278,Obj1-2,V,GL007,TRUE,Normal,203,26,6636,4895,-9999,-9999
115,02AE001,GRAVEL RIVER NEAR CAVERS,48.92599869,-87.69019318,48.9161987,-87.7042999,CA,608,624.1655,2.658799342,Natural,2015-End, ,1974-2016,32,FALSE,TRUE,FALSE,FALSE, , ,SUPERIOR,2000-01-01 - 2012-12-31,66.64638783,Obj1-2,V,GL055,TRUE,Normal,215,20,6648,5942,-9999,-9999
116,02BA003,LITTLE PIC RIVER NEAR COLDWELL,48.84910965,-86.60722351,48.8428993,-86.623497,CA,1320,1378.2575,4.41344697,Natural,All, ,1972-2016,45,FALSE,TRUE,TRUE,TRUE, , ,SUPERIOR,2000-01-01 - 2012-12-31,99.98479087,Obj1-2,C,GL093,TRUE,Normal,216,20,6649,5946,-9999,-9999
117,02BA006,STEEL RIVER BELOW SANTOY LAKE,48.81370926,-86.85933685,48.8013,-86.8718033,CA,1190,1219.0677,2.442663866,Natural,All, ,2003-2016,14,TRUE,FALSE,FALSE,FALSE, , ,SUPERIOR,2000-01-01 - 2003-03-18,82.15969582,Obj1-2,V,GL088,TRUE,Normal,217,20,6650,5943,-9999,-9999
118,02LG005,GATINEAU (RIVIERE) AUX RAPIDES CEIZUR,47.08361,-75.7536,47.0778999,-75.7434998,CA,6840,6923.376284,1.21895152,Natural,All, ,1974-2013,40,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2006-07-18 - 2006-08-02; 2013-10-22 - 2017-12-31,76.45627376,Obj1-2,V,GL146,TRUE,Normal,245,3,6678,2646,-9999,-9999
119,02LD005,PETITE NATION (RIVIERE DE LA) AU PONT A 1.6 KM EN AMONT DE RIPON,45.79167,-75.0914,45.7803993,-75.0917969,CA,1330,1253.73727,-5.73403985,Natural,All, ,1968-2013,46,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2008-12-22 - 2009-03-09; 2010-01-28 - 2010-03-10; 2013-10-22 - 2017-12-31,74.87452471,Obj1-2,V,GL094,TRUE,Normal,250,15,6683,2848,-9999,-9999
120,02LB032,RIGAUD RIVER NEAR ST. EUGENE,45.49142,-74.4418,45.4903984,-74.4343033,CA,306.4100037,301.258,-1.681408452,Natural,All, ,2003-2016,14,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2000-01-01 - 2003-05-12; 2003-07-01 - 2003-10-15; 2003-12-01 - 2004-03-31; 2004-05-11 - 2004-05-19; 2004-05-23 - 2004-05-24; 2004-05-30 - 2004-06-01; 2004-06-11 - 2004-08-02; 2004-08-06 - 2004-08-10; 2004-08-16 - 2004-09-11; 2004-09-19 - 2004-11-24; 2004,63.49809886,Obj1-2,V,GL026,TRUE,Normal,259,15,6692,3978,-9999,-9999
181,04213000,CONNEAUT C AT CONNEAUT OH,41.92699898,-80.6039659,41.9328995,-80.588501,US,453.25,496.7323,9.593447325, , ,Ref,1923-03-04 to 2017-01-13,82,FALSE,TRUE,TRUE,TRUE, ,small towns on main trib; NEoA,ERIE, ,100,Obj1-2,C,GL046,TRUE,Normal,79,24,6512,6356,-9999,-9999
182,04256000,INDEPENDENCE RIVER AT DONNATTSBURG NY,43.74729136,-75.33434745,43.7388,-75.3509979,US,232.4457,228.728,-1.599384286, , ,Ref,1990-10-01 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,Adirondack Park; few roads,ONTARIO, ,100,Obj1-2,C,GL013,TRUE,Normal,194,22,6627,5259,-9999,-9999
183,04057510,STURGEON RIVER NR NAHMA JUNCTION MI,45.9430235,-86.7056997,45.9263,-86.7042999,US,473.97,515.667,8.79739224, , ,Ref,1967-04-10 to 2017-06-19,51,FALSE,TRUE,FALSE,TRUE, ,mostly forested; NEoA,MICHIGAN, ,100,Obj1-2,V,GL047,TRUE,Normal,132,21,6565,6046,-9999,-9999
184,04126970,Boardman R above Brown Bridge Road nr Mayfield MI,44.65667,-85.436731,44.6529007,-85.4526978,US,365.19,384.6678,5.333607163, , ,Ref,1998-04-02 to 2017-03-08,20,FALSE,TRUE,FALSE,TRUE, ,forest; lt develop; NEoA,MICHIGAN, ,100,Obj1-2,C,GL035,TRUE,Normal,165,21,6598,3205,-9999,-9999
185,04122500,PERE MARQUETTE RIVER AT SCOTTVILLE MI,43.9450063,-86.2786896,43.9337997,-86.2918015,US,1763.79,1804.552619,2.311081194, , ,Ref,1940-04-05 to 2017-03-03,78,FALSE,TRUE,TRUE,TRUE, ,Nat Scenic River; proximal small town & POTW; NEoA,MICHIGAN, ,100,Obj1-2,C,GL103,TRUE,Normal,160,21,6593,6095,-9999,-9999
186,04085200,KEWAUNEE RIVER NEAR KEWAUNEE WI,44.45833125,-87.5564746,44.4564018,-87.5521011,US,328.93,271.59,-17.43228042, , ,Ref,1958-04-01 to 2017-03-27,59,FALSE,TRUE,FALSE,TRUE, ,hvy ag; small towns; in hw; extensive riparian forests; NEoA,MICHIGAN, ,100,Obj1-2,C,GL031,TRUE,Normal,143,21,6576,6073,-9999,-9999
187,04059500,FORD RIVER NR HYDE MI,45.7549674,-87.2020793,45.7438011,-87.1893005,US,1165.5,1216.8679,4.407370227, , ,Ref,1955-04-15 to 2017-06-19,63,FALSE,TRUE,TRUE,TRUE, ,lt-mod ag & forest mix,MICHIGAN, ,100,Obj1-2,C,GL086,TRUE,Normal,134,21,6567,6053,-9999,-9999
188,04056500,MANISTIQUE RIVER NR MANISTIQUE MI,46.03052857,-86.161249,46.0354004,-86.1784973,US,2849,2907.364957,2.048612039, , ,Ref,1938-04-01 to 2017-04-14,80,FALSE,TRUE,TRUE,TRUE,Since July 1948; slight regulation by dam on outlet of Manistique Lake,mostly undeveloped; NEoA,MICHIGAN, ,100,Obj1-2,C,GL122,TRUE,Normal,131,21,6564,1666,-9999,-9999
189,04015330,KNIFE RIVER NEAR TWO HARBORS MN,46.94688005,-91.7924013,46.9478989,-91.7848969,US,216.524,218.1261,0.739917977, , ,Ref,1975-04-23 to 2016-11-29,43,FALSE,TRUE,FALSE,TRUE,Flow regulated intermittently by fish ladder operation,small impoundment on upper mainstem; lt develop; NEoA,SUPERIOR, ,100,Obj1-2,V,GL009,TRUE,Normal,229,20,6662,5974,-9999,-9999
190,04031000,BLACK R NR BESSEMER MI,46.5113361,-90.0746179,46.5186996,-90.0893021,US,518,510.43587,-1.460256757, , ,Ref,1955-04-11 to 2017-05-18,45,FALSE,TRUE,TRUE,TRUE,Prior to 1967; flow included some ground water pumped from mines at Bessemer.,mostly forested; some small towns & lt development,SUPERIOR,2000-01-01 - 2000-09-30,95.83269962,Obj1-2,C,GL050,TRUE,Normal,235,20,6668,5999,-9999,-9999
191,04045500,TAHQUAMENON RIVER NR TAHQUAMENON PARADISE MI,46.5745833,-85.26963889,46.5713005,-85.2509995,US,2046.1,2007.136489,-1.904281853, , ,Ref,1954-04-29 to 2017-04-13,64,FALSE,TRUE,TRUE,TRUE, ,small dam on main trib NEoA,SUPERIOR, ,100,Obj1-2,C,GL113,TRUE,Normal,240,20,6673,6037,-9999,-9999
192,04024430,NEMADJI RIVER NEAR SOUTH SUPERIOR WI,46.6333333,-92.0938889,46.6463013,-92.0960007,US,1087.8,1126.837,3.588619231, , ,Ref,1974-06-11 to 2017-05-18,44,FALSE,TRUE,TRUE,TRUE, ,mostly forested; NEoA,SUPERIOR, ,100,Obj1-2,C,GL082,TRUE,Normal,231,20,6664,5979,-9999,-9999
209,04102776,Middle Branch Black River near South Haven MI,42.4325306,-86.2069742,42.4538002,-86.1460037,US,214.97,213.977,-0.46192492, , ,Ref,1994-11-07 to 2017-03-31,23,FALSE,TRUE,FALSE,FALSE, ,rip forest; ag; lt development,MICHIGAN,2011-10-01 - 2017-12-31,65.26235741,Obj1-2,V,GL008,TRUE,Normal,155,21,6588,4617,-9999,-9999
210,04122200,WHITE RIVER NEAR WHITEHALL MI,43.46417856,-86.2325668,43.4538002,-86.2460022,US,1051.54,1089.75208,3.633915971, , ,Ref,1957-11-17 to 2017-01-19,60,FALSE,TRUE,TRUE,TRUE, ,small dam on main trib; NEoA,MICHIGAN, ,100,Obj1-2,C,GL080,TRUE,Normal,159,21,6592,4504,-9999,-9999
211,04027000,BAD RIVER NEAR ODANAH WI,46.4866144,-90.696297,46.5037003,-90.6934967,US,1546.23,1527.2985,-1.224365069, , ,Ref,1915-05-16 to 2017-05-18,76,FALSE,TRUE,TRUE,TRUE, ,forested HW; NEoA,SUPERIOR, ,100,Obj1-2,C,GL100,TRUE,Normal,232,20,6665,1391,-9999,-9999
